,ID,City,lat,lon,Date,Temp Morning,Temp Day,Temp Evening,Temp Night,Temp Min,Temp Max,Feels Like Morning,Feels Like Day,Feels Like Evening,Feels Like Night,Humidity,Weather,Description,Wind Speed,Precipitation Probability,Precipitation Volume,Weather Score
216,28,Collioure,42.52505,3.0831554,2024-04-22 11:00:00,8.36,14.78,13.82,11.32,8.36,15.48,3.86,12.99,12.22,9.66,26,Clear,clear sky,13.59,0.0,0.0,15.48
200,26,Aigues Mortes,43.5661521,4.19154,2024-04-22 11:00:00,7.72,12.92,13.4,9.88,7.72,14.33,3.52,11.1,11.81,6.04,32,Clear,clear sky,10.76,0.0,0.0,14.33
264,34,Bayonne,43.4945144,-1.4736657,2024-04-22 12:00:00,4.31,12.35,10.53,10.72,3.96,12.35,2.26,10.79,9.31,9.41,44,Rain,light rain,7.31,0.5,0.25,9.825
192,25,Nimes,43.8374249,4.3600687,2024-04-22 11:00:00,5.53,12.67,12.52,8.29,5.53,14.03,1.31,10.75,10.82,4.64,29,Clear,clear sky,10.27,0.0,0.0,14.03
208,27,Saintes Maries de la mer,43.4515922,4.4277202,2024-04-22 11:00:00,7.9,12.37,12.97,9.07,7.81,13.92,3.36,10.6,11.47,4.58,36,Clear,clear sky,12.04,0.0,0.0,13.92
